Offense,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Arson,5.3,4.7,5.6,4.5,4.5,4.8,4.9,4.9,5.1,5.2,5.2,5.3,6.7,7.8,8.8,8.1,6.8,7.2,5.8,6.1,5.9,6.2,5.4,6.0,6.0,6.4,6.4,4.9,4.7,4.2,3.6,4.3,4.0,3.2,2.4,2.6,2.4
Other assaults,118.8,118.2,126.9,130.9,132.5,158.1,167.0,188.6,214.3,237.7,255.0,279.8,297.1,338.0,379.1,399.7,425.6,455.3,464.6,442.6,449.8,466.7,461.2,470.0,500.0,492.0,498.1,484.0,477.1,454.3,448.9,413.3,387.5,327.3,310.0,294.7,289.2
Vandalism,60.8,58.8,57.3,59.0,63.0,66.7,68.9,70.2,72.3,77.3,78.5,82.1,84.1,92.4,104.2,97.9,100.1,101.6,95.2,85.3,86.4,82.7,84.9,87.0,86.8,84.8,91.8,88.4,85.4,74.2,68.6,60.7,57.6,44.8,43.0,42.7,40.7
Weapons carrying, possessing, etc.,9.8,10.6,11.8,11.0,11.9,14.5,13.8,15.5,17.9,18.8,18.7,22.8,27.8,33.9,34.8,31.4,28.7,31.0,26.4,25.2,23.8,24.9,23.8,26.2,27.6,28.8,28.3,25.3,23.1,21.2,20.4,17.7,14.4,12.9,13.4,12.8,12.9
Drug abuse violations,121.3,98.9,102.5,89.7,89.9,99.7,85.2,86.2,97.8,99.4,68.1,62.5,68.4,86.3,130.8,164.7,183.6,190.2,177.0,174.3,180.6,191.0,181.3,196.3,200.7,196.2,188.8,186.2,168.7,162.2,171.5,152.5,147.0,131.7,138.2,129.3,138.7
Driving under the influence,22.0,22.4,25.5,26.7,24.3,23.3,27.2,24.6,24.4,21.1,21.4,18.7,14.8,13.8,13.5,15.7,19.3,21.7,23.5,24.3,22.9,23.0,25.5,25.4,24.8,23.4,27.3,25.9,23.5,20.2,18.5,15.8,14.8,11.5,11.0,10.0,10.1
Liquor laws,231.7,227.1,240.7,239.5,244.0,269.5,310.2,327.6,342.6,326.6,334.2,296.5,246.9,231.8,243.7,249.5,315.6,274.9,261.5,267.9,254.5,214.1,298.8,281.5,267.1,268.3,303.1,312.6,294.5,258.3,223.2,215.1,189.9,142.5,124.4,105.8,89.6
Drunkenness,40.1,37.3,40.6,35.8,34.9,32.5,35.5,29.2,28.5,27.2,28.3,25.2,22.3,19.6,21.1,22.2,27.5,26.7,30.2,25.9,27.2,27.1,24.8,24.5,23.1,22.6,24.5,25.8,22.6,21.3,20.8,18.4,16.8,12.2,11.3,9.6,8.5
Disorderly conduct,146.4,133.6,148.5,132.0,118.0,128.2,130.3,142.6,167.0,176.7,180.7,191.3,201.5,223.8,274.3,277.5,344.6,361.9,322.2,291.7,282.3,299.1,353.6,361.3,388.3,400.0,410.9,403.2,372.9,343.3,325.7,294.9,260.6,202.0,168.7,154.0,144.8
Curfew and loitering law violations,109.4,137.6,141.5,125.2,148.8,146.8,162.0,166.4,137.9,151.0,165.0,184.5,175.7,196.4,253.7,298.5,359.6,357.4,369.2,323.6,302.7,274.2,268.7,251.2,256.2,256.3,284.5,264.4,252.0,209.9,171.2,138.9,123.9,97.9,90.6,77.5,63.1
Runaways,590.1,549.8,552.7,521.6,606.0,666.7,695.6,675.4,691.5,670.3,732.0,735.6,733.5,720.1,967.7,960.8,738.1,739.9,616.4,554.3,518.7,484.2,455.2,437.5,421.7,376.9,385.8,365.5,368.7,312.7,n/a,n/a,n/a,n/a,n/a,n/a,n/a
