Year,Age Range,County,White,Black,American Indian,Asian,Total
1996,11-17,"Lincoln County","2245","3","7","0","2255",
1996,11-17,"Natrona County","7515","90","91","43","7739",
1996,11-17,"Niobrara County","272","0","0","0","272",
1996,11-17,"Park County","3020","6","17","14","3057",
1996,11-17,"Platte County","1079","0","1","0","1080",
1996,11-17,"Sheridan County","3057","8","50","20","3135",
1996,11-17,"Sublette County","686","0","0","0","686",
1996,11-17,"Sweetwater County","5442","46","62","23","5573",
1996,11-17,"Teton County","1358","1","8","4","1371",
1996,11-17,"Uinta County","3197","2","30","6","3235",
1996,11-17,"Washakie County","1127","0","10","3","1140",
1996,11-17,"Weston County","864","0","5","0","869",
2010,11-17,"Albany County","1980","49","26","57","2112",
2010,11-17,"Big Horn County","1217","10","10","5","1242",
2010,11-17,"Campbell County","4525","48","92","31","4696",
2010,11-17,"Carbon County","1309","7","27","10","1353",
2010,11-17,"Converse County","1338","25","10","1","1374",
2010,11-17,"Crook County","634","6","8","0","648",
2010,11-17,"Fremont County","2459","30","1204","19","3712",
2010,11-17,"Goshen County","1114","15","20","5","1154",
2010,11-17,"Hot Springs County","375","8","10","5","398",
2010,11-17,"Johnson County","713","7","7","3","730",
2010,11-17,"Laramie County","7596","348","151","132","8227",
2010,11-17,"Lincoln County","1912","18","29","9","1968",
2010,11-17,"Natrona County","6355","140","116","64","6675",
2010,11-17,"Niobrara County","207","2","0","2","211",
2010,11-17,"Park County","2299","24","34","18","2375",
2010,11-17,"Platte County","741","8","6","8","763",
2010,11-17,"Sheridan County","2378","26","68","14","2486",
2010,11-17,"Sublette County","882","9","21","5","917",
2010,11-17,"Sweetwater County","3959","73","78","44","4154",
2010,11-17,"Teton County","1421","10","18","26","1475",
2010,11-17,"Uinta County","2364","24","34","16","2438",
2010,11-17,"Washakie County","799","6","29","9","843",
2010,11-17,"Weston County","594","5","13","0","612",
2014,11-17,"Albany County","1927","59","32","81","2099",
2014,11-17,"Big Horn County","1195","12","12","11","1230",
2014,11-17,"Campbell County","4638","57","113","43","4851",
2014,11-17,"Carbon County","1344","17","27","14","1402",
2014,11-17,"Converse County","1294","17","18","8","1337",
2014,11-17,"Crook County","603","7","13","1","624",
2014,11-17,"Fremont County","2406","37","1275","23","3741",
2014,11-17,"Goshen County","1094","20","16","8","1138",
2014,11-17,"Hot Springs County","395","5","5","4","409",
2014,11-17,"Johnson County","653","7","12","1","673",
2014,11-17,"Laramie County","7696","369","176","133","8374",
2014,11-17,"Lincoln County","1920","19","23","11","1973",
2014,11-17,"Natrona County","6608","181","140","76","7005",
2014,11-17,"Niobrara County","200","4","0","0","204",
2014,11-17,"Park County","2247","25","37","20","2329",
2014,11-17,"Platte County","741","8","5","3","757",
2014,11-17,"Sheridan County","2458","63","51","13","2585",
2014,11-17,"Sublette County","871","12","13","20","916",
2014,11-17,"Sweetwater County","4304","85","75","40","4504",
2014,11-17,"Teton County","1435","14","20","29","1498",
2014,11-17,"Uinta County","2334","25","27","14","2400",
2014,11-17,"Washakie County","828","8","24","6","866",
2014,11-17,"Weston County","571","16","15","3","605",
2017,11-17,"Albany County","2066","96","39","56","2257",
2017,11-17,"Big Horn County","1242","11","9","11","1273",
2017,11-17,"Campbell County","4615","60","100","38","4813",
2017,11-17,"Carbon County","1293","25","22","11","1351",
2017,11-17,"Converse County","1318","12","19","9","1358",
2017,11-17,"Crook County","640","8","16","2","666",
2017,11-17,"Fremont County","2379","35","1348","23","3785",
2017,11-17,"Goshen County","1030","11","18","8","1067",
2017,11-17,"Hot Springs County","389","2","3","3","397",
2017,11-17,"Johnson County","726","12","19","1","758",
2017,11-17,"Laramie County","8103","377","167","167","8814",
2017,11-17,"Lincoln County","2029","16","29","10","2084",
2017,11-17,"Natrona County","6840","163","144","71","7218",
2017,11-17,"Niobrara County","148","3","3","0","154",
2017,11-17,"Park County","2322","21","35","13","2391",
2017,11-17,"Platte County","648","10","5","4","667",
2017,11-17,"Sheridan County","2475","89","52","14","2630",
2017,11-17,"Sublette County","803","15","11","39","868",
2017,11-17,"Sweetwater County","4323","93","82","43","4541",
2017,11-17,"Teton County","1532","20","22","32","1606",
2017,11-17,"Uinta County","2278","26","30","18","2352",
2017,11-17,"Washakie County","843","10","14","8","875",
2017,11-17,"Weston County","560","13","11","4","588",
1999,11-17,"Albany County","2329","43","44","38","2454",
1999,11-17,"Big Horn County","1436","0","13","4","1453",
1999,11-17,"Campbell County","4543","5","77","25","4650",
1999,11-17,"Carbon County","1736","10","5","28","1779",
1999,11-17,"Converse County","1568","10","19","4","1601",
1999,11-17,"Crook County","775","0","7","0","782",
1999,11-17,"Fremont County","3228","7","1227","10","4472",
1999,11-17,"Goshen County","1323","0","25","0","1348",
1999,11-17,"Hot Springs County","524","0","22","0","546",
1999,11-17,"Johnson County","768","0","6","1","775",
1999,11-17,"Laramie County","8113","298","104","107","8622",
1999,11-17,"Lincoln County","2113","4","5","0","2122",
1999,11-17,"Natrona County","7200","98","111","42","7451",
1999,11-17,"Niobrara County","255","0","0","0","255",
1999,11-17,"Park County","2934","5","18","14","2971",
1999,11-17,"Platte County","1064","0","1","0","1065",
1999,11-17,"Sheridan County","2956","10","70","26","3062",
1999,11-17,"Sublette County","687","0","0","0","687",
1999,11-17,"Sweetwater County","4958","49","69","24","5100",
1999,11-17,"Teton County","1481","2","5","3","1491",
1999,11-17,"Uinta County","2993","2","33","6","3034",
1999,11-17,"Washakie County","1075","0","9","4","1088",
1999,11-17,"Weston County","802","0","3","0","805",
2012,11-17,"Albany County","1969","54","27","63","2113",
2012,11-17,"Big Horn County","1216","16","14","12","1258",
2012,11-17,"Campbell County","4635","46","90","33","4804",
2012,11-17,"Carbon County","1301","15","32","12","1360",
2012,11-17,"Converse County","1321","29","9","6","1365",
2012,11-17,"Crook County","604","8","10","0","622",
2012,11-17,"Fremont County","2463","30","1201","17","3711",
2012,11-17,"Goshen County","1106","14","21","7","1148",
2012,11-17,"Hot Springs County","380","5","8","5","398",
2012,11-17,"Johnson County","680","6","6","1","693",
2012,11-17,"Laramie County","7609","312","150","122","8193",
2012,11-17,"Lincoln County","1863","20","22","6","1911",
2012,11-17,"Natrona County","6421","160","136","77","6794",
2012,11-17,"Niobrara County","203","1","0","1","205",
2012,11-17,"Park County","2270","21","37","25","2353",
2012,11-17,"Platte County","692","5","10","9","716",
2012,11-17,"Sheridan County","2400","31","63","16","2510",
2012,11-17,"Sublette County","895","11","17","12","935",
2012,11-17,"Sweetwater County","4184","84","79","39","4386",
2012,11-17,"Teton County","1395","11","18","32","1456",
2012,11-17,"Uinta County","2306","22","28","18","2374",
2012,11-17,"Washakie County","810","8","26","9","853",
2012,11-17,"Weston County","565","11","14","1","591",
1998,11-17,"Albany County","2387","36","37","36","2496",
1998,11-17,"Big Horn County","1492","0","12","3","1507",
1998,11-17,"Campbell County","4578","6","75","25","4684",
1998,11-17,"Carbon County","1803","13","5","22","1843",
1998,11-17,"Converse County","1601","7","19","4","1631",
1998,11-17,"Crook County","793","0","6","0","799",
1998,11-17,"Fremont County","3353","6","1183","10","4552",
1998,11-17,"Goshen County","1390","0","22","0","1412",
1998,11-17,"Hot Springs County","559","0","18","0","577",
1998,11-17,"Johnson County","777","0","6","1","784",
1998,11-17,"Laramie County","8260","293","101","110","8764",
1998,11-17,"Lincoln County","2130","3","6","0","2139",
1998,11-17,"Natrona County","7350","85","100","42","7577",
1998,11-17,"Niobrara County","270","0","0","0","270",
1998,11-17,"Park County","3032","3","15","16","3066",
1998,11-17,"Platte County","1088","0","1","0","1089",
1998,11-17,"Sheridan County","3014","8","56","23","3101",
1998,11-17,"Sublette County","684","0","0","0","684",
1998,11-17,"Sweetwater County","5174","50","62","20","5306",
1998,11-17,"Teton County","1443","1","5","4","1453",
1998,11-17,"Uinta County","3104","6","41","7","3158",
1998,11-17,"Washakie County","1118","0","9","4","1131",
1998,11-17,"Weston County","832","0","3","0","835",
2006,11-17,"Albany County","1946","46","30","34","2056",
2006,11-17,"Big Horn County","1240","11","11","3","1265",
2006,11-17,"Campbell County","4269","35","84","24","4412",
2006,11-17,"Carbon County","1310","9","28","12","1359",
2006,11-17,"Converse County","1382","23","13","4","1422",
2006,11-17,"Crook County","648","2","7","0","657",
2006,11-17,"Fremont County","2580","15","1251","20","3866",
2006,11-17,"Goshen County","1165","11","19","5","1200",
2006,11-17,"Hot Springs County","351","5","8","2","366",
2006,11-17,"Johnson County","762","6","6","2","776",
2006,11-17,"Laramie County","7846","328","128","128","8430",
2006,11-17,"Lincoln County","1864","13","22","5","1904",
2006,11-17,"Natrona County","6750","107","123","50","7030",
2006,11-17,"Niobrara County","207","1","0","2","210",
2006,11-17,"Park County","2439","19","24","17","2499",
2006,11-17,"Platte County","900","6","4","4","914",
2006,11-17,"Sheridan County","2441","20","69","17","2547",
2006,11-17,"Sublette County","740","4","14","3","761",
2006,11-17,"Sweetwater County","3884","59","68","32","4043",
2006,11-17,"Teton County","1555","6","11","22","1594",
2006,11-17,"Uinta County","2335","17","37","12","2401",
2006,11-17,"Washakie County","810","9","21","8","848",
2006,11-17,"Weston County","598","2","9","0","609",
1995,11-17,"Albany County","2550","27","44","37","2658",
1995,11-17,"Big Horn County","1488","0","8","4","1500",
1995,11-17,"Campbell County","4552","5","67","17","4641",
1995,11-17,"Carbon County","1985","8","6","15","2014",
1995,11-17,"Converse County","1630","4","19","3","1656",
1995,11-17,"Crook County","776","0","4","0","780",
1995,11-17,"Fremont County","3431","7","1173","6","4617",
1995,11-17,"Goshen County","1435","0","16","0","1451",
1995,11-17,"Hot Springs County","564","0","19","0","583",
1995,11-17,"Johnson County","772","0","8","1","781",
1995,11-17,"Laramie County","8302","296","93","102","8793",
1995,11-17,"Lincoln County","2228","2","8","0","2238",
1995,11-17,"Natrona County","7510","79","88","41","7718",
1995,11-17,"Niobrara County","275","0","0","0","275",
1995,11-17,"Park County","3001","3","20","11","3035",
1995,11-17,"Platte County","1059","0","1","0","1060",
1995,11-17,"Sheridan County","3022","7","44","21","3094",
1995,11-17,"Sublette County","671","0","0","0","671",
1995,11-17,"Sweetwater County","5549","48","61","22","5680",
1995,11-17,"Teton County","1303","2","6","3","1314",
1995,11-17,"Uinta County","3202","1","28","6","3237",
1995,11-17,"Washakie County","1137","0","10","3","1150",
1995,11-17,"Weston County","857","0","4","0","861",
2011,11-17,"Albany County","1949","52","26","59","2086",
2011,11-17,"Big Horn County","1220","12","10","8","1250",
2011,11-17,"Campbell County","4541","50","87","34","4712",
2011,11-17,"Carbon County","1314","13","28","11","1366",
2011,11-17,"Converse County","1291","27","10","4","1332",
2011,11-17,"Crook County","625","8","9","1","643",
2011,11-17,"Fremont County","2451","27","1189","16","3683",
2011,11-17,"Goshen County","1111","16","20","6","1153",
2011,11-17,"Hot Springs County","364","8","7","5","384",
2011,11-17,"Johnson County","707","9","7","3","726",
2011,11-17,"Laramie County","7564","330","142","128","8164",
2011,11-17,"Lincoln County","1873","18","24","9","1924",
2011,11-17,"Natrona County","6356","146","130","70","6702",
2011,11-17,"Niobrara County","199","6","0","1","206",
2011,11-17,"Park County","2281","20","38","20","2359",
2011,11-17,"Platte County","728","4","6","9","747",
2011,11-17,"Sheridan County","2400","30","62","18","2510",
2011,11-17,"Sublette County","895","10","19","6","930",
2011,11-17,"Sweetwater County","4077","78","79","39","4273",
2011,11-17,"Teton County","1423","6","20","32","1481",
2011,11-17,"Uinta County","2339","21","33","16","2409",
2011,11-17,"Washakie County","815","8","25","8","856",
2011,11-17,"Weston County","577","7","14","1","599",
2004,11-17,"Albany County","2063","48","34","39","2184",
2004,11-17,"Big Horn County","1325","6","17","6","1354",
2004,11-17,"Campbell County","4283","22","80","19","4404",
2004,11-17,"Carbon County","1343","12","20","13","1388",
2004,11-17,"Converse County","1406","12","13","3","1434",
2004,11-17,"Crook County","682","0","10","0","692",
2004,11-17,"Fremont County","2706","17","1243","17","3983",
2004,11-17,"Goshen County","1178","8","21","5","1212",
2004,11-17,"Hot Springs County","389","0","16","3","408",
2004,11-17,"Johnson County","746","1","5","2","754",
2004,11-17,"Laramie County","8017","300","129","115","8561",
2004,11-17,"Lincoln County","1919","13","15","7","1954",
2004,11-17,"Natrona County","6755","97","120","46","7018",
2004,11-17,"Niobrara County","225","1","0","1","227",
2004,11-17,"Park County","2578","15","19","17","2629",
2004,11-17,"Platte County","954","3","8","3","968",
2004,11-17,"Sheridan County","2572","19","74","19","2684",
2004,11-17,"Sublette County","683","3","11","3","700",
2004,11-17,"Sweetwater County","4027","65","60","29","4181",
2004,11-17,"Teton County","1576","6","10","13","1605",
2004,11-17,"Uinta County","2404","11","40","13","2468",
2004,11-17,"Washakie County","868","5","17","8","898",
2004,11-17,"Weston County","660","4","10","1","675",
2003,11-17,"Albany County","2026","45","36","36","2143",
2003,11-17,"Big Horn County","1327","7","16","9","1359",
2003,11-17,"Campbell County","4395","24","73","19","4511",
2003,11-17,"Carbon County","1421","15","17","14","1467",
2003,11-17,"Converse County","1473","14","14","7","1508",
2003,11-17,"Crook County","691","0","11","0","702",
2003,11-17,"Fremont County","2804","13","1237","15","4069",
2003,11-17,"Goshen County","1226","9","22","10","1267",
2003,11-17,"Hot Springs County","441","1","17","1","460",
2003,11-17,"Johnson County","744","1","5","1","751",
2003,11-17,"Laramie County","7968","278","126","103","8475",
2003,11-17,"Lincoln County","1901","15","13","6","1935",
2003,11-17,"Natrona County","6814","85","128","46","7073",
2003,11-17,"Niobrara County","219","1","0","0","220",
2003,11-17,"Park County","2628","12","20","21","2681",
2003,11-17,"Platte County","961","4","8","4","977",
2003,11-17,"Sheridan County","2608","18","78","16","2720",
2003,11-17,"Sublette County","678","3","6","3","690",
2003,11-17,"Sweetwater County","4124","55","52","24","4255",
2003,11-17,"Teton County","1545","4","6","10","1565",
2003,11-17,"Uinta County","2548","12","35","13","2608",
2003,11-17,"Washakie County","900","5","16","6","927",
2003,11-17,"Weston County","675","4","10","1","690",
1997,11-17,"Albany County","2483","33","41","42","2599",
1997,11-17,"Big Horn County","1489","0","11","3","1503",
1997,11-17,"Campbell County","4609","5","74","21","4709",
1997,11-17,"Carbon County","1888","7","5","22","1922",
1997,11-17,"Converse County","1653","6","20","4","1683",
1997,11-17,"Crook County","797","0","5","0","802",
1997,11-17,"Fremont County","3432","6","1205","5","4648",
1997,11-17,"Goshen County","1452","0","19","0","1471",
1997,11-17,"Hot Springs County","571","0","19","0","590",
1997,11-17,"Johnson County","791","0","5","1","797",
1997,11-17,"Laramie County","8374","274","108","115","8871",
1997,11-17,"Lincoln County","2185","3","5","0","2193",
1997,11-17,"Natrona County","7515","78","97","42","7732",
1997,11-17,"Niobrara County","270","0","0","0","270",
1997,11-17,"Park County","3073","5","19","14","3111",
1997,11-17,"Platte County","1095","0","1","0","1096",
1997,11-17,"Sheridan County","3055","6","54","23","3138",
1997,11-17,"Sublette County","687","0","0","0","687",
1997,11-17,"Sweetwater County","5316","45","58","24","5443",
1997,11-17,"Teton County","1418","1","6","4","1429",
1997,11-17,"Uinta County","3158","6","31","8","3203",
1997,11-17,"Washakie County","1141","0","10","3","1154",
1997,11-17,"Weston County","853","0","3","0","856",
1994,11-17,"Albany County","2537","26","37","37","2637",
1994,11-17,"Big Horn County","1447","0","9","4","1460",
1994,11-17,"Campbell County","4434","4","72","15","4525",
1994,11-17,"Carbon County","2001","8","8","12","2029",
1994,11-17,"Converse County","1602","4","20","3","1629",
1994,11-17,"Crook County","761","0","4","0","765",
1994,11-17,"Fremont County","3376","7","1161","5","4549",
1994,11-17,"Goshen County","1458","0","17","0","1475",
1994,11-17,"Hot Springs County","580","0","22","0","602",
1994,11-17,"Johnson County","762","0","9","1","772",
1994,11-17,"Laramie County","8232","282","96","104","8714",
1994,11-17,"Lincoln County","2197","3","10","0","2210",
1994,11-17,"Natrona County","7443","81","77","38","7639",
1994,11-17,"Niobrara County","268","0","0","0","268",
1994,11-17,"Park County","2924","3","20","13","2960",
1994,11-17,"Platte County","1049","0","1","0","1050",
1994,11-17,"Sheridan County","2958","6","44","19","3027",
1994,11-17,"Sublette County","663","0","0","0","663",
1994,11-17,"Sweetwater County","5585","48","60","22","5715",
1994,11-17,"Teton County","1243","1","7","4","1255",
1994,11-17,"Uinta County","3216","1","31","5","3253",
1994,11-17,"Washakie County","1139","0","11","2","1152",
1994,11-17,"Weston County","848","0","4","0","852",
2013,11-17,"Albany County","1903","52","36","79","2070",
2013,11-17,"Big Horn County","1193","17","11","10","1231",
2013,11-17,"Campbell County","4646","55","95","34","4830",
2013,11-17,"Carbon County","1322","15","32","13","1382",
2013,11-17,"Converse County","1342","23","21","7","1393",
2013,11-17,"Crook County","610","10","8","1","629",
2013,11-17,"Fremont County","2435","40","1235","20","3730",
2013,11-17,"Goshen County","1092","12","19","10","1133",
2013,11-17,"Hot Springs County","378","4","3","5","390",
2013,11-17,"Johnson County","663","6","8","1","678",
2013,11-17,"Laramie County","7698","344","158","123","8323",
2013,11-17,"Lincoln County","1863","20","24","7","1914",
2013,11-17,"Natrona County","6610","177","145","70","7002",
2013,11-17,"Niobrara County","201","2","0","1","204",
2013,11-17,"Park County","2239","27","36","21","2323",
2013,11-17,"Platte County","703","7","4","5","719",
2013,11-17,"Sheridan County","2362","48","59","15","2484",
2013,11-17,"Sublette County","866","7","15","16","904",
2013,11-17,"Sweetwater County","4273","93","68","40","4474",
2013,11-17,"Teton County","1388","14","15","30","1447",
2013,11-17,"Uinta County","2303","24","25","17","2369",
2013,11-17,"Washakie County","823","3","25","7","858",
2013,11-17,"Weston County","542","9","14","3","568",
2016,11-17,"Albany County","2018","68","44","62","2192",
2016,11-17,"Big Horn County","1242","14","11","9","1276",
2016,11-17,"Campbell County","4809","67","102","43","5021",
2016,11-17,"Carbon County","1326","19","24","13","1382",
2016,11-17,"Converse County","1321","15","19","10","1365",
2016,11-17,"Crook County","662","8","14","1","685",
2016,11-17,"Fremont County","2389","36","1326","25","3776",
2016,11-17,"Goshen County","1046","13","13","8","1080",
2016,11-17,"Hot Springs County","395","3","4","2","404",
2016,11-17,"Johnson County","694","11","14","2","721",
2016,11-17,"Laramie County","7972","367","171","163","8673",
2016,11-17,"Lincoln County","1975","23","26","6","2030",
2016,11-17,"Natrona County","6851","167","141","78","7237",
2016,11-17,"Niobrara County","179","2","3","4","188",
2016,11-17,"Park County","2288","21","30","16","2355",
2016,11-17,"Platte County","688","9","5","2","704",
2016,11-17,"Sheridan County","2407","74","52","15","2548",
2016,11-17,"Sublette County","827","13","12","33","885",
2016,11-17,"Sweetwater County","4298","94","83","52","4527",
2016,11-17,"Teton County","1459","20","22","25","1526",
2016,11-17,"Uinta County","2300","22","31","19","2372",
2016,11-17,"Washakie County","830","7","15","9","861",
2016,11-17,"Weston County","591","8","11","4","614",
2005,11-17,"Albany County","1987","48","31","37","2103",
2005,11-17,"Big Horn County","1274","8","12","3","1297",
2005,11-17,"Campbell County","4227","33","78","23","4361",
2005,11-17,"Carbon County","1324","10","23","13","1370",
2005,11-17,"Converse County","1359","18","14","5","1396",
2005,11-17,"Crook County","670","0","9","0","679",
2005,11-17,"Fremont County","2636","18","1265","25","3944",
2005,11-17,"Goshen County","1196","9","23","5","1233",
2005,11-17,"Hot Springs County","378","3","11","3","395",
2005,11-17,"Johnson County","733","5","6","1","745",
2005,11-17,"Laramie County","7904","316","130","116","8466",
2005,11-17,"Lincoln County","1893","12","18","3","1926",
2005,11-17,"Natrona County","6697","104","127","52","6980",
2005,11-17,"Niobrara County","216","1","0","2","219",
2005,11-17,"Park County","2490","16","21","18","2545",
2005,11-17,"Platte County","928","6","8","4","946",
2005,11-17,"Sheridan County","2532","20","70","18","2640",
2005,11-17,"Sublette County","733","2","11","3","749",
2005,11-17,"Sweetwater County","3947","59","68","38","4112",
2005,11-17,"Teton County","1544","4","11","18","1577",
2005,11-17,"Uinta County","2368","14","40","14","2436",
2005,11-17,"Washakie County","816","8","22","6","852",
