Year,County_Desc,Manslaughter,Rape,Robbery,Aggravated-Assault,Burglary,Larceny-Theft,Motor-Vehicle-Theft,Arson,Other-Assaults,Forgery-Counterfeiting,Fraud,Embezzlement,Stolen-Property,Vandalism,Weapons,Prostitution,Sex-Offenses,Drug-Abuse-Violations,Drug-Abuse-Violations-Possession,Gambling-Offenses,Offenses-Against-Family-Children,Driving-Under-the-Influence,Liquor-Laws,Drunkenness,Disorderly-Conduct,All-Other-Offenses-Except-Traffic,Suspicion,Curfew-Loitering-Law-Violations,Run-a-ways,Vagrancy
2012,Laramie,0,0,0,3,3,137,5,1,108,0,0,0,2,44,16,0,1,1,113,0,1,5,124,2,34,131,0,47,153,4
2013,Laramie,0,0,0,8,4,121,7,0,107,0,3,0,1,40,14,0,0,0,83,0,4,4,83,0,42,109,0,44,174,1
2014,Laramie,1,0,0,5,0,120,3,0,112,0,2,0,0,51,15,0,0,1,99,0,3,7,83,0,29,134,0,45,195,0
2015,Laramie,0,0,0,12,0,93,5,0,65,0,2,0,0,27,12,0,5,4,97,0,4,0,78,1,50,110,0,19,61,0
2010,Lincoln,0,0,0,2,0,10,0,0,2,0,1,0,0,3,0,0,0,0,1,0,0,1,10,0,0,1,0,0,1,0
2011,Lincoln,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,6,0,1,3,0,0,1,0
2012,Lincoln,0,0,0,2,10,10,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,3,6,0,0,0,0
2013,Lincoln,0,3,0,0,1,7,0,0,2,0,0,0,0,2,0,0,0,1,8,0,0,4,11,1,1,24,0,0,2,0
2014,Lincoln,0,0,0,0,0,0,0,2,0,0,0,0,0,6,1,0,0,0,3,0,0,0,4,0,0,4,0,0,0,0
2015,Lincoln,0,0,0,0,0,4,0,0,1,0,0,0,0,2,0,0,0,0,4,0,0,0,7,5,0,2,0,0,2,0
2010,Natrona,1,0,2,1,19,149,3,4,110,0,0,1,0,30,8,0,1,1,154,0,0,13,205,1,3,323,0,148,11,5
2011,Natrona,2,0,0,3,16,143,7,1,73,0,0,0,0,25,9,0,2,2,147,0,0,12,146,2,0,335,0,88,22,3
2012,Natrona,0,0,0,3,10,148,6,1,63,1,0,0,0,25,8,0,8,0,166,0,0,10,174,2,7,300,0,92,33,7
2013,Natrona,0,0,1,2,8,155,3,1,59,1,2,0,2,31,5,1,7,1,120,0,0,11,97,8,2,304,0,94,15,15
2014,Natrona,0,0,0,1,9,143,2,1,46,0,4,0,0,21,3,1,3,4,153,0,4,4,100,1,4,180,0,60,5,1
2015,Natrona,0,0,3,3,15,131,1,0,53,0,2,0,3,21,3,0,7,0,139,1,4,5,82,8,0,165,0,50,6,24
2010,Niobrara,0,0,0,0,0,3,0,0,6,0,0,0,0,3,0,0,0,0,5,0,0,0,7,0,0,6,0,0,3,0
2011,Niobrara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2012,Niobrara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,2,0,0
2013,Niobrara,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
2014,Niobrara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2010,Park,0,0,1,1,4,21,0,1,1,0,0,0,0,24,0,0,0,1,18,0,0,1,32,0,17,31,0,0,1,0
2011,Park,0,0,1,2,0,29,0,0,12,0,0,0,0,5,0,0,0,0,22,0,1,1,24,0,21,52,0,3,1,0
2012,Park,0,1,0,0,0,17,1,0,9,0,0,0,1,10,0,0,0,0,18,0,0,1,28,0,11,32,0,0,1,0
2013,Park,0,3,0,1,0,13,0,0,6,0,0,0,2,8,0,0,1,0,14,0,0,0,33,0,12,43,0,5,0,0
2014,Park,0,0,0,2,0,20,0,0,6,0,0,0,3,7,0,0,0,2,16,0,0,1,19,0,13,48,0,2,1,0
2015,Park,0,0,0,1,1,19,1,0,8,0,1,0,0,15,0,0,0,0,13,0,0,1,14,0,13,32,0,0,0,0
2010,Platte,0,0,0,1,36,8,3,0,4,0,0,0,0,1,0,0,0,0,7,0,0,0,12,0,0,12,0,3,0,0
2011,Platte,0,0,0,1,2,2,0,0,13,0,0,0,0,1,2,0,1,0,4,0,1,2,8,0,0,9,0,2,1,0
2012,Platte,0,0,0,0,2,1,0,0,2,0,1,0,0,0,0,0,2,0,0,1,0,0,2,0,0,8,0,0,2,0
2013,Platte,0,0,0,1,0,2,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,1,10,0,0,14,0,8,0,3
2014,Platte,0,0,0,1,1,2,1,0,4,0,0,0,0,1,0,0,0,0,12,0,0,1,6,0,3,18,0,1,0,0
2015,Platte,0,0,0,0,7,2,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,11,0,4,0,0
2010,Sheridan,0,0,2,3,1,54,1,0,10,0,0,0,0,13,1,0,0,2,24,0,0,3,55,0,20,31,0,10,2,0
2011,Sheridan,0,0,0,2,0,37,2,1,7,1,0,0,0,11,0,0,0,1,15,0,0,3,31,1,8,38,0,28,3,0
2012,Sheridan,0,0,7,1,2,25,1,0,13,0,0,0,0,4,0,0,0,1,30,0,0,3,64,1,6,43,0,37,6,0
2013,Sheridan,0,0,0,0,0,18,3,0,13,0,0,0,0,3,0,0,0,0,24,0,0,5,73,0,9,39,0,30,10,0
2014,Sheridan,0,0,0,0,2,29,1,0,7,0,0,0,0,9,1,0,1,0,10,0,0,4,46,0,9,38,0,30,6,0
2015,Sheridan,0,0,0,1,3,40,7,0,12,0,2,0,0,12,0,0,0,0,22,0,0,1,28,0,15,40,0,42,16,0
2010,Sublette,0,0,0,0,0,9,0,0,2,0,0,0,0,0,0,0,0,0,7,0,0,0,19,0,0,8,0,1,0,0
2011,Sublette,0,0,0,1,3,9,0,0,4,0,1,0,0,0,1,0,0,1,10,0,0,1,7,0,0,6,0,0,2,0
2012,Sublette,0,0,0,0,4,0,1,0,3,0,0,0,0,2,0,0,0,2,16,1,0,1,6,0,0,13,0,0,0,0
2013,Sublette,0,0,0,0,1,2,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,13,0,0,1,0
2014,Sublette,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,4,0,0,0,7,0,2,7,0,1,1,0
2015,Sublette,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,2,2,0,5,0,0,0,0
2010,Sweetwater,0,0,0,14,23,57,2,1,49,0,0,0,0,31,6,0,3,8,31,0,0,10,62,4,5,155,0,73,27,0
2011,Sweetwater,0,0,0,8,6,85,4,0,52,1,1,0,0,19,4,0,2,1,36,0,0,6,54,0,15,113,0,86,20,0
2012,Sweetwater,1,0,0,4,1,84,2,4,38,0,0,0,0,10,0,0,3,4,36,0,2,5,60,0,4,84,0,57,14,0
2013,Sweetwater,0,2,0,6,1,56,3,1,26,0,2,0,0,17,4,0,1,0,35,0,0,2,32,3,1,31,1,32,22,1
