"",,,,,,,,th4  Qt,,,4th Qt,,
"",,,,,,,,,,,,,
Moorcroft,,,,,,3,,3,,3,13,3,-76.9%
"",,,,,,,,,,,,,
FREMONT COUNTY,0,7,1,5,17,220,9,259,,,257,,0.8%
"",,,,,,,,,,,,,
Sheriff,,4,,1,3,29,1,38,,1,42,3,-9.5%
"",,,,,,,,,,,,,
Lander,,,,,,61,2,63,,3,50,3,26.0%
"",,,,,,,,,,,,,
Riverton,,3,1,4,14,130,6,158,,3,165,3,-4.2%
"",,,,,,,,,,,,,
GOSHEN COUNTY,0,0,0,13,2,19,1,35,,,25,,40.0%
"",,,,,,,,,,,,,
Sheriff,,,,3,1,4,,8,,3,0,3,100.0%
"",,,,,,,,,,,,,
Torrington,,,,10,1,15,1,27,,3,25,3,8.0%
"",,,,,,,,,,,,,
HOT SPRINGS,,,,,,,,,,,,,
"",0,0,0,0,0,9,2,11,,,9,,22.2%
COUNTY,,,,,,,,,,,,,
Sheriff,,,,,,2,1,3,,3,7,3,-57.1%
"",,,,,,,,,,,,,
Thermopolis,,,,,,7,1,8,,3,2,3,300.0%
"",,,,,,,,,,,,,
JOHNSON COUNTY,0,0,0,3,7,17,2,29,,,43,,-32.6%
"",,,,,,,,,,,,,
Sheriff,,,,1,2,3,1,7,,3,13,3,-46.2%
"",,,,,,,,,,,,,
Buffalo,,,,2,5,14,1,22,,3,30,3,-26.7%
"",,,,,,,,,,,,,
LARAMIE COUNTY,1,7,2,49,110,602,64,835,,,563,,48.3%
"",,,,,,,,,,,,,
Sheriff,1,3,,8,14,59,11,96,,3,124,3,-22.6%
"",,,,,,,,,,,,,
Cheyenne,,4,2,41,95,539,53,734,,3,439,3,67.2%
"",,,,,,,,,,,,,
Pine Bluffs,,,,,1,4,0,5,,2,0,3,100.0%
"",,,,,,,,4th Qt,,4th Qt,,%
"",,,,AGG,,,,,,,,
"",MURDER,RAPE,ROBBERY,,BURGLARY,LARCENY,MVT,2016,M,2015,M,Change
"",,,,ASSLT,,,,TOTAL,,TOTAL,,*
LINCOLN COUNTY,0,0,0,8,3,13,2,26,,47,,-44.7%
"",,,,,,,,,,,,
Sheriff,,,,8,2,8,1,19,3,23,3,-17.4%
"",,,,,,,,,,,,
Afton,,,,,,2,,2,3,14,3,-85.7%
"",,,,,,,,,,,,
Kemmerer,,,,,1,3,1,5,3,10,3,-50.0%
"",,,,,,,,,,,,
Diamondville,,,,,,,,0,3,0,3,0.0%
"",,,,,,,,,,,,
NATRONA COUNTY,0,6,3,22,60,153,15,259,,634,,-59.1%
"",,,,,,,,,,,,
Sheriff,,5,1,8,29,35,5,83,3,89,3,-6.7%
"",,,,,,,,,,,,
Casper,,,1,5,14,85,5,110,1,499,3,-78.0%
"",,,,,,,,,,,,
Mills,,,1,2,15,20,2,40,3,32,3,25.0%
"",,,,,,,,,,,,
Evansville,,1,,7,2,13,3,26,3,14,3,85.7%
"",,,,,,,,,,,,
NIOBRARA COUNTY,0,0,0,0,0,0,0,0,,0,,0.0%
"",,,,,,,,,,,,
Sheriff,,,,,,,,0,0,0,0,0.0%
"",,,,,,,,,,,,
Lusk,,,,,,,,0,0,0,0,0.0%
"",,,,,,,,,,,,
PARK COUNTY,0,3,0,11,19,83,0,116,,136,,-14.7%
"",,,,,,,,,,,,
Sheriff,,,,5,7,19,,31,3,20,3,55.0%
"",,,,,,,,,,,,
Cody,,1,,3,9,38,,51,3,63,3,-19.0%
"",,,,,,,,,,,,
Powell,,2,,3,3,26,,34,3,53,3,-35.8%
"",,,,,,,,,,,,
PLATTE COUNTY,0,0,0,0,3,7,1,11,,48,,-77.1%
"",,,,,,,,,,,,
Sheriff,,,,,2,,1,3,3,7,3,-57.1%
"",,,,,,,,,,,,
Wheatland,,,,,1,7,,8,3,41,3,-80.5%
"",,,,,,,,,,,,
Guernsey,,,,,,,,0,0,0,0,0.0%
"",,,,,,,,,,,,
SHERIDAN COUNTY,1,0,0,11,11,81,2,106,,147,,-27.9%
"",,,,,,,,,,,,
Sheriff,,,,10,,7,,17,3,12,3,41.7%
"",,,,,,,,,,,,
Sheridan,1,,,1,11,74,2,89,3,135,3,-34.1%
"",,,,,,,,,,,,
NWCCD,,,,,,,,0,0,0,0,-6.9%
"",,,,,,,,,,,,
SUBLETTE COUNTY,0,0,0,0,2,15,1,18,,35,,-48.6%
"",,,,,,,,,,,,
Sheriff,,,,,2,15,1,18,3,35,3,-48.6%
"",,,,,,,,,,,,
SWEETWATER,,,,,,,,,,,,
"",0,8,2,19,22,140,10,201,,245,,-18.0%
COUNTY,,,,,,,,,,,,
Sheriff,,1,,1,7,11,4,24,3,30,3,-20.0%
"",,,,,,,,,,,,
Green River,,,,6,4,19,,29,3,56,3,-48.2%
"",,,,,,,,,,,,
Rock Springs,,7,2,12,11,110,6,148,3,159,3,-6.9%
"",,,,,,,,,,,,
TETON COUNTY,0,1,0,5,2,30,6,44,,53,,-17.0%
"",,,,,,,,,,,,
Jackson,,1,,5,2,30,6,44,3,53,3,-17.0%
"",,,,,,,,,,,,
UINTA COUNTY,0,1,2,3,9,81,2,98,,118,,-16.9%
"",,,,,,,,,,,,
Sheriff,,,,2,2,13,,17,3,0,3,100.0%
"",,,,,,,,,,,,
Evanston,,1,2,1,7,68,2,81,3,118,3,-31.4%
"",,,,,,,,,,,,
WASHAKIE COUNTY,0,0,1,0,8,12,1,22,,19,,15.8%
"",,,,,,,,,,,,
Sheriff,,,,,2,2,1,5,3,1,3,400.0%
"",,,,,,,,,,,,
Worland,,,1,,6,10,,17,3,18,3,-5.6%
"",,,,,,,,,,,,
WESTON COUNTY,0,1,0,4,1,8,0,14,,19,,-26.3%
"",,,,,,,,,,,,
Sheriff,,,,1,,,,1,3,1,3,0.0%
"",,,,,,,,,,,,
Newcastle,,1,,3,1,8,,13,3,18,3,-27.8%
"",,,,,,,,,,,,
TOTAL,4,44,13,213,342,"1,905",140,"2,661",,"3,011",,-11.6%
