"",,,,,,,,3RD QT,,3RD QT,,
FREMONT COUNTY,1,3,1,10,21,223,19,278,,257,,8.2%
"",,,,,,,,,,,,
Sheriff,,,,,4,29,5,38,3,42,0,-9.5%
"",,,,,,,,,,,,
Lander,,,,,,69,2,71,3,50,3,42.0%
"",,,,,,,,,,,,
Riverton,1,3,1,10,17,125,12,169,3,165,3,2.4%
GOSHEN COUNTY,0,0,0,6,5,25,2,38,,25,,52.0%
"",,,,,,,,,,,,
Sheriff,,,,2,4,9,,15,2,0,3,100.0%
"",,,,,,,,,,,,
Torrington,,,,4,1,16,2,23,3,25,3,-8.0%
"",,,,,,,,,,,,
HOT SPRINGS COUNTY,0,0,3,4,0,12,3,22,,9,,144.4%
"",,,,,,,,,,,,
Sheriff,,,,1,,3,3,7,3,7,3,0.0%
"",,,,,,,,,,,,
Thermopolis,,,3,3,,9,,15,3,2,1,650.0%
"",,,,,,,,,,,,
JOHNSON COUNTY,0,1,0,1,5,15,3,25,,43,,-41.9%
"",,,,,,,,,,,,
Sheriff,,1,,,2,4,,7,3,13,2,-46.2%
"",,,,,,,,,,,,
Buffalo,,,,1,3,11,3,18,3,30,3,-40.0%
"",,,,,,,,,,,,
LARAMIE COUNTY,1,11,5,47,153,638,87,942,,563,,67.3%
"",,,,,,,,,,,,
Sheriff,,4,1,16,30,85,19,155,3,124,3,25.0%
"",,,,,,,,,,,,
Cheyenne,1,7,4,31,123,551,67,784,3,439,3,78.6%
Pine Bluffs,,,,,,2,1,3,3,0,3,100.0%
LINCOLN COUNTY,0,0,1,9,6,26,3,45,,47,-4.3%
"",,,,,,,,,,,
Sheriff,,,,5,6,14,2,27,3,23 3,17.4%
"",,,,,,,,,,,
Afton,,,,,,8,,8,3,14 3,-42.9%
"",,,,,,,,,,,
Kemmerer,,,1,4,,4,1,10,3,10 3,0.0%
"",,,,,,,,,,,
Diamondville,,,,,,,,0,3,0 3,0.0%
"",,,,,,,,,,,
NATRONA COUNTY,0,6,5,20,79,250,42,402,,634,-36.6%
"",,,,,,,,,,,
Sheriff,,4,1,10,11,33,8,67,3,89 3,-24.7%
"",,,,,,,,,,,
Casper,,1,4,3,56,187,30,281,2,499 3,-43.7%
"",,,,,,,,,,,
Mills,,,,,3,15,3,21,3,32 3,-34.4%
"",,,,,,,,,,,
Evansville,,1,,7,9,15,1,33,3,14 3,135.7%
"",,,,,,,,,,,
NIOBRARA COUNTY,0,0,0,0,0,0,0,0,,0,0.0%
"",,,,,,,,,,,
Sheriff,,,,,,,,0,0,0 0,0.0%
"",,,,,,,,,,,
Lusk,,,,,,,,0,0,0 0,0.0%
"",,,,,,,,,,,
PARK COUNTY,0,5,0,11,32,115,5,168,,136,23.5%
"",,,,,,,,,,,
Sheriff,,1,,6,8,17,,32,3,20 3,60.0%
"",,,,,,,,,,,
Cody,,1,,3,12,64,5,85,3,63 3,34.9%
"",,,,,,,,,,,
Powell,,3,,2,12,34,,51,3,53 3,-3.8%
"",,,,,,,,,,,
PLATTE COUNTY,0,0,0,2,8,19,2,31,,48,-35.4%
"",,,,,,,,,,,
Sheriff,,,,,2,4,,6,3,7 3,-14.3%
"",,,,,,,,,,,
Wheatland,,,,2,6,15,2,25,3,41 3,-39.0%
"",,,,,,,,,,,
Guernsey,,,,,,,,0,0,0 0,0.0%
"",,,,,,,,,,,
SHERIDAN COUNTY,1,0,1,15,26,114,5,162,,147,10.2%
"",,,,,,,,,,,
Sheriff,,,,13,5,7,1,26,3,12 3,116.7%
"",,,,,,,,,,,
Sheridan,1,,1,2,21,107,4,136,3,135 3,0.7%
"",,,,,,,,,,,
NWCCD,,,,,,,,0,0,0 0,0.0%
"",,,,,,,,,,,
SUBLETTE COUNTY,0,0,1,0,0,23,3,27,,35,-22.9%
"",,,,,,,,,,,
Sheriff,,,1,,,23,3,27,3,35 3,-22.9%
"",,,,,,,,,,,
SWEETWATER,,,,,,,,,,,
"",0,15,0,26,33,146,22,242,,245,-1.2%
COUNTY,,,,,,,,,,,
Sheriff,,1,,9,11,21,9,51,3,30 3,70.0%
"",,,,,,,,,,,
Green River,,1,,7,4,29,3,44,3,56 3,-21.4%
"",,,,,,,,,,,
Rock Springs,,13,,10,18,96,10,147,3,159 3,-7.5%
"",,,,,,,,,,,
TETON COUNTY,0,2,0,4,2,60,4,72,,53,35.8%
"",,,,,,,,,,,
Jackson,,2,,4,2,60,4,72,3,53 2,35.8%
"",,,,,,,,,,,
UINTA COUNTY,0,1,0,3,10,99,9,122,,118,3.4%
"",,,,,,,,,,,
Sheriff,,,,,2,15,2,19,3,0 3,100.0%
"",,,,,,,,,,,
Evanston,,1,,3,8,84,7,103,3,118 3,-12.7%
"",,,,,,,,,,,
WASHAKIE COUNTY,0,1,0,3,7,23,2,36,,19,89.5%
"",,,,,,,,,,,
Sheriff,,,,,1,4,2,7,3,1 3,600.0%
"",,,,,,,,,,,
Worland,,1,,3,6,19,,29,3,18 3,61.1%
"",,,,,,,,,,,
WESTON COUNTY,0,1,0,1,1,16,0,19,,19,0.0%
"",,,,,,,,,,,
Sheriff,,,,,,1,,1,3,1 3,0.0%
"",,,,,,,,,,,
Newcastle,,1,,1,1,15,,18,3,18 3,0.0%
"",,,,,,,,,,,
TOTAL,4,52,18,235,477,"2,210",248,"3,244",7.7%,"3,011",
