"County","Year","Age Range","White","Black","American Indian","Asian","Total"
"Washakie",1998,"1","110","0","2","0","112"
"Washakie",1998,"2","105","0","0","1","106"
"Washakie",1998,"3","100","0","0","0","100"
"Washakie",1998,"4","99","0","0","0","99"
"Washakie",1998,"5","104","0","6","3","113"
"Washakie",1998,"6","101","0","0","1","102"
"Washakie",1998,"7","116","0","0","0","116"
"Washakie",1998,"8","145","0","0","0","145"
"Washakie",1998,"9","139","0","0","0","139"
"Washakie",1998,"10","156","0","0","1","157"
"Washakie",1998,"11","138","0","0","0","138"
"Washakie",1998,"12","144","0","1","3","148"
"Washakie",1998,"13","149","0","1","0","150"
"Washakie",1998,"14","164","0","2","0","166"
"Washakie",1998,"15","174","0","5","0","179"
"Washakie",1998,"16","196","0","0","0","196"
"Washakie",1998,"17","153","0","0","1","154"
"Washakie",1998,"18 to 20","284","1","1","0","286"
"Washakie",1998,"21 to 24","281","0","0","0","281"
"Washakie",1998,"25 & over","5556","1","22","22","5601"
"Washakie",1998,"Total","8510","2","40","33","8585"
"Park",2005,"0","274","3","3","2","282"
"Park",2005,"1","272","4","2","0","278"
"Park",2005,"2","295","2","3","2","302"
"Park",2005,"3","268","2","0","3","273"
"Park",2005,"4","250","0","2","2","254"
"Park",2005,"5","266","1","1","1","269"
"Park",2005,"6","248","1","2","1","252"
"Park",2005,"7","293","2","2","2","299"
"Park",2005,"8","288","2","3","1","294"
"Park",2005,"9","323","3","0","1","327"
"Park",2005,"10","293","3","4","1","301"
"Park",2005,"11","298","1","3","1","303"
"Park",2005,"12","335","3","7","5","350"
"Park",2005,"13","339","6","2","3","350"
"Park",2005,"14","360","2","1","4","367"
"Park",2005,"15","392","2","2","3","399"
"Park",2005,"16","382","0","4","1","387"
"Park",2005,"17","384","2","2","1","389"
"Park",2005,"18 to 20","1269","11","17","19","1316"
"Park",2005,"21 to 24","1245","4","8","14","1271"
"Park",2005,"25 & over","17890","25","101","93","18109"
"Park",2005,"Total","25964","79","169","160","26372"
"Uinta",1998,"0","314","1","2","0","317"
"Uinta",1998,"1","345","1","5","2","353"
"Uinta",1998,"2","328","0","1","0","329"
"Uinta",1998,"3","315","0","0","3","318"
"Uinta",1998,"4","358","2","2","2","364"
"Uinta",1998,"5","319","4","2","2","327"
"Uinta",1998,"6","365","2","3","3","373"
"Uinta",1998,"7","336","0","7","3","346"
"Uinta",1998,"8","357","2","1","0","360"
"Uinta",1998,"9","362","0","3","3","368"
"Uinta",1998,"10","405","1","4","5","415"
"Uinta",1998,"11","382","1","2","0","385"
"Uinta",1998,"12","438","1","6","0","445"
"Uinta",1998,"13","444","1","2","2","449"
"Uinta",1998,"14","446","1","6","0","453"
"Uinta",1998,"15","449","2","8","0","459"
"Uinta",1998,"16","497","0","14","4","515"
"Uinta",1998,"17","448","0","3","1","452"
"Uinta",1998,"18 to 20","876","0","5","5","886"
"Uinta",1998,"21 to 24","866","0","9","0","875"
"Uinta",1998,"25 & over","11132","5","72","31","11240"
"Uinta",1998,"Total","19782","24","157","66","20029"
"Uinta",1993,"0","332","1","1","0","334"
"Uinta",1993,"1","367","2","2","1","372"
"Uinta",1993,"2","339","0","2","0","341"
"Uinta",1993,"3","348","0","0","3","351"
"Uinta",1993,"4","369","2","2","3","376"
"Uinta",1993,"5","367","4","0","1","372"
"Uinta",1993,"6","422","2","2","3","429"
"Uinta",1993,"7","402","0","6","4","412"
"Uinta",1993,"8","420","1","2","0","423"
"Uinta",1993,"9","433","0","2","5","440"
"Uinta",1993,"10","477","3","6","6","492"
"Uinta",1993,"11","467","0","4","0","471"
"Uinta",1993,"12","476","0","4","0","480"
"Uinta",1993,"13","485","0","4","2","491"
"Uinta",1993,"14","460","0","5","0","465"
"Uinta",1993,"15","433","1","7","0","441"
"Uinta",1993,"16","439","0","3","2","444"
"Uinta",1993,"17","385","0","2","1","388"
"Uinta",1993,"18 to 20","726","0","2","7","735"
"Uinta",1993,"21 to 24","775","0","12","0","787"
"Uinta",1993,"25 & over","10438","6","66","27","10537"
"Uinta",1993,"Total","19360","22","134","65","19581"
"Johnson",1992,"0","69","0","1","0","70"
"Johnson",1992,"1","81","0","0","0","81"
"Johnson",1992,"2","74","0","0","0","74"
"Johnson",1992,"3","72","0","0","0","72"
"Johnson",1992,"4","76","0","0","0","76"
"Johnson",1992,"5","81","0","1","0","82"
"Johnson",1992,"6","84","0","3","0","87"
"Johnson",1992,"7","90","0","0","0","90"
"Johnson",1992,"8","89","0","4","0","93"
"Johnson",1992,"9","105","0","1","0","106"
"Johnson",1992,"10","111","0","1","0","112"
"Johnson",1992,"11","111","0","0","0","111"
"Johnson",1992,"12","101","0","0","0","101"
"Johnson",1992,"13","95","0","2","0","97"
"Johnson",1992,"14","99","0","4","0","103"
"Johnson",1992,"15","97","0","3","1","101"
"Johnson",1992,"16","111","0","0","0","111"
"Johnson",1992,"17","97","0","0","0","97"
"Johnson",1992,"18 to 20","202","0","0","0","202"
"Johnson",1992,"21 to 24","188","0","0","0","188"
"Johnson",1992,"25 & over","4214","0","12","0","4226"
"Johnson",1992,"Total","6247","0","32","1","6280"
"Washakie",2009,"0","104","2","1","0","107"
"Washakie",2009,"1","106","5","2","1","114"
"Washakie",2009,"2","100","0","1","2","103"
"Washakie",2009,"3","126","0","1","1","128"
"Washakie",2009,"4","113","0","6","0","119"
"Washakie",2009,"5","101","0","2","1","104"
"Washakie",2009,"6","134","0","1","0","135"
"Washakie",2009,"7","104","0","3","1","108"
"Washakie",2009,"8","138","0","1","0","139"
"Washakie",2009,"9","97","2","1","0","100"
"Washakie",2009,"10","119","2","1","1","123"
"Washakie",2009,"11","115","1","3","1","120"
"Washakie",2009,"12","93","0","7","0","100"
"Washakie",2009,"13","110","0","2","2","114"
"Washakie",2009,"14","99","0","5","0","104"
"Washakie",2009,"15","109","2","3","3","117"
"Washakie",2009,"16","124","2","1","1","128"
"Washakie",2009,"17","130","3","5","3","141"
"Washakie",2009,"18 to 20","240","2","6","2","250"
"Washakie",2009,"21 to 24","267","6","1","9","283"
"Washakie",2009,"25 & over","5645","28","74","39","5786"
"Washakie",2009,"Total","8174","55","127","67","8423"
"Teton",2015,"0","237","0","4","3","244"
"Teton",2015,"1","236","2","0","0","238"
"Teton",2015,"2","244","5","1","1","251"
"Teton",2015,"3","227","3","0","2","232"
"Teton",2015,"4","241","1","0","4","246"
"Teton",2015,"5","262","5","6","3","276"
"Teton",2015,"6","274","3","4","3","284"
"Teton",2015,"7","259","6","4","6","275"
"Teton",2015,"8","276","2","2","2","282"
"Teton",2015,"9","239","3","5","3","250"
"Teton",2015,"10","237","2","2","5","246"
"Teton",2015,"11","221","3","3","4","231"
"Teton",2015,"12","220","4","3","6","233"
"Teton",2015,"13","214","3","2","4","223"
"Teton",2015,"14","197","1","2","7","207"
"Teton",2015,"15","207","2","5","3","217"
"Teton",2015,"16","187","0","3","2","192"
"Teton",2015,"17","207","2","2","5","216"
"Teton",2015,"18 to 20","452","10","8","12","482"
"Teton",2015,"21 to 24","883","13","14","20","930"
"Teton",2015,"25 & over","16748","153","169","248","17318"
"Teton",2015,"Total","22268","223","239","343","23073"
"Converse",1996,"0","158","0","0","0","158"
"Converse",1996,"1","137","2","3","0","142"
"Converse",1996,"2","147","0","0","0","147"
"Converse",1996,"3","166","0","0","0","166"
"Converse",1996,"4","174","0","4","0","178"
"Converse",1996,"5","185","0","3","1","189"
"Converse",1996,"6","166","0","0","0","166"
"Converse",1996,"7","189","3","3","0","195"
"Converse",1996,"8","188","0","0","0","188"
"Converse",1996,"9","210","0","4","1","215"
"Converse",1996,"10","200","0","0","3","203"
"Converse",1996,"11","213","0","3","0","216"
"Converse",1996,"12","224","0","4","0","228"
"Converse",1996,"13","242","0","0","0","242"
"Converse",1996,"14","252","4","6","1","263"
"Converse",1996,"15","234","1","0","1","236"
"Converse",1996,"16","230","0","4","0","234"
"Converse",1996,"17","258","0","2","0","260"
"Converse",1996,"18 to 20","393","0","6","0","399"
"Converse",1996,"21 to 24","430","0","4","0","434"
"Converse",1996,"25 & over","7326","4","57","10","7397"
"Converse",1996,"Total","11722","14","103","17","11856"
"Laramie",2001,"0","1026","88","31","22","1167"
"Laramie",2001,"1","988","68","18","25","1099"
"Laramie",2001,"2","991","45","17","27","1080"
"Laramie",2001,"3","978","68","21","15","1082"
"Laramie",2001,"4","1009","46","19","14","1088"
"Laramie",2001,"5","987","42","13","14","1056"
"Laramie",2001,"6","1063","53","13","14","1143"
"Laramie",2001,"7","1083","41","22","16","1162"
"Laramie",2001,"8","1143","54","16","27","1240"
"Laramie",2001,"9","1098","51","11","14","1174"
"Laramie",2001,"10","1112","51","21","19","1203"
"Laramie",2001,"11","1165","40","25","10","1240"
"Laramie",2001,"12","1127","49","16","13","1205"
"Laramie",2001,"13","1110","44","13","20","1187"
"Laramie",2001,"14","1154","36","16","17","1223"
"Laramie",2001,"15","1179","45","16","15","1255"
"Laramie",2001,"16","1203","42","12","15","1272"
"Laramie",2001,"17","1159","35","14","19","1227"
"Laramie",2001,"18 to 20","3193","228","46","70","3537"
"Laramie",2001,"21 to 24","4144","268","81","87","4580"
"Laramie",2001,"25 & over","50773","1321","574","666","53334"
"Laramie",2001,"Total","77685","2715","1015","1139","82554"
"Sublette",1999,"0","62","0","0","0","62"
"Sublette",1999,"1","72","0","1","2","75"
"Sublette",1999,"2","63","0","0","0","63"
"Sublette",1999,"3","75","0","0","0","75"
"Sublette",1999,"4","71","0","0","0","71"
"Sublette",1999,"5","66","0","1","0","67"
"Sublette",1999,"6","86","0","0","0","86"
"Sublette",1999,"7","81","0","0","0","81"
"Sublette",1999,"8","81","0","2","0","83"
"Sublette",1999,"9","82","0","0","0","82"
"Sublette",1999,"10","85","0","3","0","88"
"Sublette",1999,"11","100","0","0","0","100"
"Sublette",1999,"12","97","0","0","0","97"
"Sublette",1999,"13","111","0","0","0","111"
"Sublette",1999,"14","95","0","0","0","95"
"Sublette",1999,"15","91","0","0","0","91"
"Sublette",1999,"16","101","0","0","0","101"
"Sublette",1999,"17","92","0","0","0","92"
"Sublette",1999,"18 to 20","164","0","0","0","164"
"Sublette",1999,"21 to 24","197","0","2","0","199"
"Sublette",1999,"25 & over","3930","3","17","2","3952"
"Sublette",1999,"Total","5802","3","26","4","5835"
"Fremont",1996,"0","314","0","143","1","458"
"Fremont",1996,"1","308","7","146","0","461"
"Fremont",1996,"2","327","0","134","2","463"
"Fremont",1996,"3","323","0","173","0","496"
"Fremont",1996,"4","334","0","202","3","539"
"Fremont",1996,"5","351","0","199","2","552"
"Fremont",1996,"6","396","0","176","0","572"
"Fremont",1996,"7","369","0","169","1","539"
"Fremont",1996,"8","382","0","151","2","535"
"Fremont",1996,"9","428","0","155","2","585"
"Fremont",1996,"10","403","3","148","5","559"
"Fremont",1996,"11","449","0","212","3","664"
"Fremont",1996,"12","457","0","163","0","620"
"Fremont",1996,"13","510","3","200","0","713"
"Fremont",1996,"14","536","0","169","0","705"
"Fremont",1996,"15","493","0","148","1","642"
"Fremont",1996,"16","508","5","167","1","681"
"Fremont",1996,"17","483","0","156","0","639"
"Fremont",1996,"18 to 20","1051","2","364","2","1419"
"Fremont",1996,"21 to 24","1012","4","414","8","1438"
"Fremont",1996,"25 & over","18995","22","3269","54","22340"
"Fremont",1996,"Total","28429","46","7058","87","35620"
"Weston",1994,"0","65","0","2","0","67"
"Weston",1994,"1","78","0","0","0","78"
"Weston",1994,"2","79","0","3","0","82"
"Weston",1994,"3","79","0","1","0","80"
"Weston",1994,"4","85","0","3","0","88"
"Weston",1994,"5","83","0","0","0","83"
"Weston",1994,"6","90","0","0","0","90"
"Weston",1994,"7","96","0","0","0","96"
"Weston",1994,"8","97","0","0","0","97"
"Weston",1994,"9","114","0","5","0","119"
"Weston",1994,"10","113","0","4","0","117"
"Weston",1994,"11","134","0","2","0","136"
"Weston",1994,"12","121","0","0","0","121"
"Weston",1994,"13","133","0","0","0","133"
"Weston",1994,"14","119","0","0","0","119"
"Weston",1994,"15","128","0","0","0","128"
"Weston",1994,"16","107","0","0","0","107"
"Weston",1994,"17","106","0","2","0","108"
"Weston",1994,"18 to 20","221","0","14","0","235"
"Weston",1994,"21 to 24","230","0","5","0","235"
"Weston",1994,"25 & over","4346","0","27","4","4377"
"Weston",1994,"Total","6624","0","68","4","6696"
"Fremont",1995,"0","314","0","138","1","453"
"Fremont",1995,"1","313","5","145","0","463"
"Fremont",1995,"2","334","0","160","3","497"
"Fremont",1995,"3","334","0","207","0","541"
"Fremont",1995,"4","350","0","196","3","549"
"Fremont",1995,"5","373","1","175","2","551"
"Fremont",1995,"6","392","0","173","0","565"
"Fremont",1995,"7","374","0","160","2","536"
"Fremont",1995,"8","399","0","149","1","549"
"Fremont",1995,"9","452","0","168","1","621"
"Fremont",1995,"10","428","3","168","5","604"
"Fremont",1995,"11","453","0","186","2","641"
"Fremont",1995,"12","484","0","177","0","661"
"Fremont",1995,"13","522","4","191","0","717"
"Fremont",1995,"14","525","0","170","0","695"
"Fremont",1995,"15","497","0","162","2","661"
"Fremont",1995,"16","482","3","151","2","638"
"Fremont",1995,"17","468","0","136","0","604"
"Fremont",1995,"18 to 20","1007","2","334","2","1345"
"Fremont",1995,"21 to 24","1016","5","441","10","1472"
"Fremont",1995,"25 & over","18819","19","3167","51","22056"
"Fremont",1995,"Total","28336","42","6954","87","35419"
"Lincoln",2010,"0","271","1","1","1","274"
"Lincoln",2010,"1","264","1","2","0","267"
"Lincoln",2010,"2","286","1","5","0","292"
"Lincoln",2010,"3","298","2","2","0","302"
"Lincoln",2010,"4","309","2","2","1","314"
"Lincoln",2010,"5","273","2","4","2","281"
"Lincoln",2010,"6","257","1","5","0","263"
"Lincoln",2010,"7","282","0","6","0","288"
"Lincoln",2010,"8","269","3","3","0","275"
"Lincoln",2010,"9","261","3","4","0","268"
"Lincoln",2010,"10","288","2","5","1","296"
"Lincoln",2010,"11","291","4","5","0","300"
"Lincoln",2010,"12","283","1","2","2","288"
"Lincoln",2010,"13","263","3","4","3","273"
"Lincoln",2010,"14","261","2","4","1","268"
"Lincoln",2010,"15","251","3","4","1","259"
"Lincoln",2010,"16","277","3","4","2","286"
"Lincoln",2010,"17","291","3","5","0","299"
"Lincoln",2010,"18 to 20","505","1","4","2","512"
"Lincoln",2010,"21 to 24","609","7","10","1","627"
"Lincoln",2010,"25 & over","11677","33","98","50","11858"
"Lincoln",2010,"Total","17766","78","179","67","18090"
"Carbon",2014,"0","196","4","3","1","204"
"Carbon",2014,"1","188","3","9","1","201"
"Carbon",2014,"2","210","6","1","0","217"
"Carbon",2014,"3","212","6","4","3","225"
"Carbon",2014,"4","208","6","6","1","221"
"Carbon",2014,"5","220","4","4","0","228"
"Carbon",2014,"6","234","6","5","1","246"
"Carbon",2014,"7","224","3","2","4","233"
"Carbon",2014,"8","213","5","3","1","222"
"Carbon",2014,"9","185","3","3","5","196"
"Carbon",2014,"10","193","6","2","2","203"
"Carbon",2014,"11","202","4","2","1","209"
"Carbon",2014,"12","182","4","5","4","195"
"Carbon",2014,"13","192","1","7","3","203"
"Carbon",2014,"14","189","4","4","1","198"
"Carbon",2014,"15","203","1","4","1","209"
"Carbon",2014,"16","188","2","4","2","196"
"Carbon",2014,"17","194","4","2","2","202"
"Carbon",2014,"18 to 20","430","14","15","5","464"
"Carbon",2014,"21 to 24","744","22","16","19","801"
"Carbon",2014,"25 & over","10265","169","197","125","10756"
"Carbon",2014,"Total","15072","277","298","182","15829"
"Hot Springs",2012,"0","56","1","0","0","57"
"Hot Springs",2012,"1","58","2","0","0","60"
"Hot Springs",2012,"2","41","1","0","0","42"
"Hot Springs",2012,"3","48","0","0","0","48"
"Hot Springs",2012,"4","51","0","0","0","51"
"Hot Springs",2012,"5","67","1","1","0","69"
"Hot Springs",2012,"6","46","0","0","0","46"
"Hot Springs",2012,"7","53","0","1","0","54"
"Hot Springs",2012,"8","47","0","1","0","48"
"Hot Springs",2012,"9","49","3","1","1","54"
"Hot Springs",2012,"10","57","0","1","0","58"
"Hot Springs",2012,"11","51","0","1","1","53"
"Hot Springs",2012,"12","60","1","0","0","61"
"Hot Springs",2012,"13","56","1","2","0","59"
"Hot Springs",2012,"14","55","0","0","1","56"
"Hot Springs",2012,"15","55","0","1","1","57"
"Hot Springs",2012,"16","52","2","2","1","57"
"Hot Springs",2012,"17","51","1","1","1","54"
"Hot Springs",2012,"18 to 20","124","5","4","2","135"
"Hot Springs",2012,"21 to 24","148","4","8","2","162"
"Hot Springs",2012,"25 & over","3481","21","46","14","3562"
"Hot Springs",2012,"Total","4706","43","70","24","4843"
"Carbon",1990,"0","203","0","0","1","204"
"Carbon",1990,"1","222","0","3","1","226"
"Carbon",1990,"2","222","3","0","0","225"
"Carbon",1990,"3","224","0","5","0","229"
"Carbon",1990,"4","260","0","0","0","260"
"Carbon",1990,"5","289","2","7","0","298"
"Carbon",1990,"6","288","1","1","0","290"
"Carbon",1990,"7","292","1","0","2","295"
"Carbon",1990,"8","264","3","7","2","276"
"Carbon",1990,"9","287","1","0","4","292"
"Carbon",1990,"10","315","3","3","3","324"
"Carbon",1990,"11","303","2","5","0","310"
"Carbon",1990,"12","311","3","0","1","315"
"Carbon",1990,"13","275","0","0","0","275"
"Carbon",1990,"14","290","0","0","3","293"
"Carbon",1990,"15","270","1","0","2","273"
"Carbon",1990,"16","264","0","0","2","266"
"Carbon",1990,"17","282","0","1","2","285"
"Carbon",1990,"18 to 20","542","5","7","2","556"
"Carbon",1990,"21 to 24","659","2","11","4","676"
"Carbon",1990,"25 & over","10265","58","78","39","10440"
"Carbon",1990,"Total","16327","85","128","68","16608"
"Big Horn",2011,"0","146","1","2","2","151"
"Big Horn",2011,"1","143","3","5","0","151"
"Big Horn",2011,"2","150","1","2","0","153"
"Big Horn",2011,"3","146","1","1","0","148"
"Big Horn",2011,"4","166","0","3","0","169"
"Big Horn",2011,"5","169","0","1","2","172"
"Big Horn",2011,"6","186","0","1","1","188"
"Big Horn",2011,"7","153","0","0","1","154"
"Big Horn",2011,"8","159","0","2","3","164"
"Big Horn",2011,"9","155","2","0","0","157"
"Big Horn",2011,"10","152","1","3","2","158"
"Big Horn",2011,"11","170","0","4","2","176"
"Big Horn",2011,"12","158","2","1","0","161"
"Big Horn",2011,"13","175","2","0","2","179"
"Big Horn",2011,"14","174","0","0","2","176"
"Big Horn",2011,"15","175","4","2","0","181"
"Big Horn",2011,"16","192","2","2","3","199"
"Big Horn",2011,"17","174","2","0","0","176"
"Big Horn",2011,"18 to 20","392","7","9","3","411"
"Big Horn",2011,"21 to 24","431","5","18","0","454"
"Big Horn",2011,"25 & over","7690","41","102","31","7864"
"Big Horn",2011,"Total","11456","74","158","54","11742"
"Niobrara",2012,"0","17","0","1","0","18"
"Niobrara",2012,"1","18","0","0","0","18"
"Niobrara",2012,"2","23","0","0","0","23"
"Niobrara",2012,"3","22","0","0","0","22"
"Niobrara",2012,"4","18","0","0","0","18"
"Niobrara",2012,"5","21","0","0","0","21"
"Niobrara",2012,"6","18","0","1","0","19"
"Niobrara",2012,"7","15","0","0","0","15"
"Niobrara",2012,"8","20","0","0","0","20"
"Niobrara",2012,"9","32","1","0","0","33"
"Niobrara",2012,"10","28","0","0","0","28"
"Niobrara",2012,"11","32","0","0","0","32"
"Niobrara",2012,"12","23","1","0","0","24"
"Niobrara",2012,"13","36","0","0","0","36"
"Niobrara",2012,"14","27","0","0","0","27"
"Niobrara",2012,"15","31","0","0","0","31"
"Niobrara",2012,"16","26","0","0","1","27"
"Niobrara",2012,"17","28","0","0","0","28"
"Niobrara",2012,"18 to 20","64","0","0","1","65"
"Niobrara",2012,"21 to 24","94","5","3","0","102"
"Niobrara",2012,"25 & over","1822","16","21","8","1867"
"Niobrara",2012,"Total","2415","23","26","10","2474"
"Natrona",2005,"0","919","18","21","7","965"
"Natrona",2005,"1","957","36","10","7","1010"
"Natrona",2005,"2","899","24","16","7","946"
"Natrona",2005,"3","886","38","23","11","958"
"Natrona",2005,"4","850","40","29","7","926"
"Natrona",2005,"5","796","31","18","7","852"
"Natrona",2005,"6","871","14","14","13","912"
"Natrona",2005,"7","816","24","17","9","866"
"Natrona",2005,"8","834","25","11","3","873"
"Natrona",2005,"9","872","18","11","10","911"
"Natrona",2005,"10","968","20","15","10","1013"
"Natrona",2005,"11","898","23","10","9","940"
"Natrona",2005,"12","924","19","18","4","965"
"Natrona",2005,"13","939","19","26","8","992"
"Natrona",2005,"14","966","12","16","11","1005"
"Natrona",2005,"15","1079","7","18","5","1109"
"Natrona",2005,"16","948","13","17","5","983"
"Natrona",2005,"17","943","11","22","10","986"
"Natrona",2005,"18 to 20","2939","54","45","27","3065"
"Natrona",2005,"21 to 24","4010","58","68","38","4174"
"Natrona",2005,"25 & over","44197","430","508","336","45471"
"Natrona",2005,"Total","67511","934","933","544","69922"
"Weston",2006,"0","66","0","3","1","70"
"Weston",2006,"1","73","1","1","1","76"
"Weston",2006,"2","69","1","2","1","73"
"Weston",2006,"3","60","2","3","0","65"
"Weston",2006,"4","65","1","2","0","68"
"Weston",2006,"5","76","2","2","0","80"
"Weston",2006,"6","76","0","2","0","78"
"Weston",2006,"7","69","1","1","1","72"
"Weston",2006,"8","71","2","2","1","76"
"Weston",2006,"9","80","0","1","0","81"
"Weston",2006,"10","68","1","0","1","70"
"Weston",2006,"11","66","0","2","0","68"
"Weston",2006,"12","74","0","2","0","76"
"Weston",2006,"13","73","2","2","0","77"
"Weston",2006,"14","80","0","1","0","81"
"Weston",2006,"15","101","0","1","0","102"
"Weston",2006,"16","97","0","1","0","98"
"Weston",2006,"17","107","0","0","0","107"
"Weston",2006,"18 to 20","240","2","8","1","251"
"Weston",2006,"21 to 24","339","3","3","1","346"
"Weston",2006,"25 & over","4610","14","62","16","4702"
"Weston",2006,"Total","6560","32","101","24","6717"
"Uinta",2008,"0","344","4","18","2","368"
"Uinta",2008,"1","314","2","2","2","320"
"Uinta",2008,"2","387","2","3","0","392"
"Uinta",2008,"3","289","2","2","0","293"
"Uinta",2008,"4","350","3","3","4","360"
"Uinta",2008,"5","384","2","2","5","393"
"Uinta",2008,"6","352","2","10","0","364"
"Uinta",2008,"7","302","2","5","1","310"
"Uinta",2008,"8","355","7","2","2","366"
"Uinta",2008,"9","314","6","0","2","322"
"Uinta",2008,"10","314","2","4","2","322"
"Uinta",2008,"11","304","4","5","5","318"
"Uinta",2008,"12","373","1","5","1","380"
"Uinta",2008,"13","314","1","3","1","319"
"Uinta",2008,"14","317","2","6","4","329"
"Uinta",2008,"15","323","4","3","1","331"
"Uinta",2008,"16","334","4","6","2","346"
"Uinta",2008,"17","333","4","5","2","344"
"Uinta",2008,"18 to 20","791","9","21","3","824"
"Uinta",2008,"21 to 24","885","1","8","6","900"
"Uinta",2008,"25 & over","12467","36","147","62","12712"
"Uinta",2008,"Total","20146","100","260","107","20613"
"Converse",2008,"0","177","1","11","1","190"
"Converse",2008,"1","188","4","1","1","194"
"Converse",2008,"2","178","1","4","0","183"
"Converse",2008,"3","175","5","3","2","185"
"Converse",2008,"4","161","3","6","0","170"
"Converse",2008,"5","220","3","1","1","225"
"Converse",2008,"6","194","1","2","0","197"
"Converse",2008,"7","168","2","4","1","175"
"Converse",2008,"8","166","0","3","0","169"
"Converse",2008,"9","173","2","0","1","176"
"Converse",2008,"10","182","2","0","1","185"
"Converse",2008,"11","171","4","1","0","176"
"Converse",2008,"12","176","4","2","0","182"
"Converse",2008,"13","177","2","2","0","181"
"Converse",2008,"14","179","5","2","1","187"
"Converse",2008,"15","190","1","0","0","191"
"Converse",2008,"16","245","2","3","0","250"
"Converse",2008,"17","199","4","2","1","206"
"Converse",2008,"18 to 20","430","2","3","1","436"
"Converse",2008,"21 to 24","581","3","3","2","589"
"Converse",2008,"25 & over","8891","28","83","37","9039"
"Converse",2008,"Total","13221","79","136","50","13486"
"Park",2012,"0","319","5","4","1","329"
"Park",2012,"1","281","8","2","4","295"
"Park",2012,"2","282","2","4","5","293"
"Park",2012,"3","331","4","3","2","340"
"Park",2012,"4","344","2","3","5","354"
"Park",2012,"5","336","5","2","4","347"
"Park",2012,"6","338","2","8","3","351"
"Park",2012,"7","350","3","1","1","355"
"Park",2012,"8","327","4","3","0","334"
"Park",2012,"9","332","3","5","2","342"
"Park",2012,"10","321","1","6","0","328"
"Park",2012,"11","314","0","3","0","317"
"Park",2012,"12","314","4","6","4","328"
"Park",2012,"13","309","2","3","4","318"
"Park",2012,"14","342","1","7","3","353"
"Park",2012,"15","325","5","8","7","345"
"Park",2012,"16","326","3","5","4","338"
"Park",2012,"17","336","5","3","4","348"
"Park",2012,"18 to 20","1205","58","26","26","1315"
"Park",2012,"21 to 24","1194","49","15","23","1281"
"Park",2012,"25 & over","19787","173","125","143","20228"
"Park",2012,"Total","28013","339","242","245","28839"
"Niobrara",2005,"0","11","1","0","0","12"
"Niobrara",2005,"1","11","0","0","0","11"
"Niobrara",2005,"2","24","0","0","0","24"
"Niobrara",2005,"3","14","0","0","0","14"
"Niobrara",2005,"4","24","0","1","0","25"
"Niobrara",2005,"5","22","0","0","0","22"
"Niobrara",2005,"6","20","0","0","0","20"
"Niobrara",2005,"7","27","0","0","0","27"
"Niobrara",2005,"8","25","0","0","0","25"
"Niobrara",2005,"9","35","0","0","0","35"
"Niobrara",2005,"10","23","0","0","0","23"
"Niobrara",2005,"11","22","0","0","0","22"
"Niobrara",2005,"12","24","1","0","0","25"
"Niobrara",2005,"13","32","0","0","0","32"
"Niobrara",2005,"14","36","0","0","1","37"
"Niobrara",2005,"15","34","0","0","0","34"
"Niobrara",2005,"16","36","0","0","0","36"
"Niobrara",2005,"17","32","0","0","1","33"
"Niobrara",2005,"18 to 20","58","0","0","0","58"
"Niobrara",2005,"21 to 24","87","1","2","0","90"
"Niobrara",2005,"25 & over","1685","5","16","4","1710"
"Niobrara",2005,"Total","2282","8","19","6","2315"
"Platte",2016,"0","80","2","0","2","84"
"Platte",2016,"1","86","1","0","2","89"
"Platte",2016,"2","81","3","1","1","86"
"Platte",2016,"3","80","1","2","2","85"
"Platte",2016,"4","115","5","2","1","123"
"Platte",2016,"5","86","2","0","1","89"
"Platte",2016,"6","80","2","1","1","84"
"Platte",2016,"7","101","2","2","1","106"
"Platte",2016,"8","90","1","1","0","92"
"Platte",2016,"9","95","3","0","3","101"
"Platte",2016,"10","93","1","0","1","95"
"Platte",2016,"11","98","2","0","0","100"
"Platte",2016,"12","91","0","0","0","91"
"Platte",2016,"13","99","1","2","2","104"
"Platte",2016,"14","106","0","2","0","108"
"Platte",2016,"15","97","2","0","0","99"
"Platte",2016,"16","98","1","3","0","102"
"Platte",2016,"17","104","0","0","0","104"
"Platte",2016,"18 to 20","229","5","3","7","244"
"Platte",2016,"21 to 24","325","2","8","5","340"
"Platte",2016,"25 & over","6215","55","48","36","6354"
"Platte",2016,"Total","8449","91","75","65","8680"
"Goshen",1994,"0","151","0","1","0","152"
"Goshen",1994,"1","142","2","7","0","151"
"Goshen",1994,"2","144","0","0","0","144"
"Goshen",1994,"3","157","0","0","0","157"
"Goshen",1994,"4","161","0","0","0","161"
"Goshen",1994,"5","150","2","3","0","155"
"Goshen",1994,"6","177","0","9","0","186"
"Goshen",1994,"7","150","0","1","0","151"
"Goshen",1994,"8","184","0","3","0","187"
"Goshen",1994,"9","213","0","2","0","215"
"Goshen",1994,"10","204","7","1","2","214"
"Goshen",1994,"11","199","0","7","0","206"
"Goshen",1994,"12","214","0","2","0","216"
"Goshen",1994,"13","214","0","0","0","214"
"Goshen",1994,"14","217","0","0","0","217"
"Goshen",1994,"15","213","0","6","0","219"
"Goshen",1994,"16","207","0","0","0","207"
"Goshen",1994,"17","194","0","2","0","196"
"Goshen",1994,"18 to 20","576","6","4","3","589"
