"County","Year","Age Range","White","Black","American Indian","Asian","Total"
"Campbell",2003,"Total","35736","159","494","197","36586"
"Carbon",2012,"0","186","1","2","0","189"
"Carbon",2012,"1","197","5","4","4","210"
"Carbon",2012,"2","191","3","4","1","199"
"Carbon",2012,"3","216","2","2","0","220"
"Carbon",2012,"4","206","3","2","3","214"
"Carbon",2012,"5","215","1","3","3","222"
"Carbon",2012,"6","189","5","2","2","198"
"Carbon",2012,"7","181","4","6","3","194"
"Carbon",2012,"8","200","4","0","2","206"
"Carbon",2012,"9","198","4","3","1","206"
"Carbon",2012,"10","179","2","4","2","187"
"Carbon",2012,"11","191","4","7","2","204"
"Carbon",2012,"12","191","5","4","1","201"
"Carbon",2012,"13","200","1","5","2","208"
"Carbon",2012,"14","187","2","3","1","193"
"Carbon",2012,"15","186","1","3","2","192"
"Carbon",2012,"16","172","1","4","2","179"
"Carbon",2012,"17","174","2","5","2","183"
"Carbon",2012,"18 to 20","460","18","13","5","496"
"Carbon",2012,"21 to 24","729","18","20","18","785"
"Carbon",2012,"25 & over","10338","175","181","101","10795"
"Carbon",2012,"Total","14986","261","277","157","15681"
"Hot Springs",1993,"0","48","0","0","0","48"
"Hot Springs",1993,"1","39","0","1","0","40"
"Hot Springs",1993,"2","41","0","7","0","48"
"Hot Springs",1993,"3","48","0","0","0","48"
"Hot Springs",1993,"4","48","0","1","0","49"
"Hot Springs",1993,"5","51","0","2","0","53"
"Hot Springs",1993,"6","54","0","4","0","58"
"Hot Springs",1993,"7","55","0","1","0","56"
"Hot Springs",1993,"8","62","0","4","0","66"
"Hot Springs",1993,"9","79","0","1","0","80"
"Hot Springs",1993,"10","75","0","2","0","77"
"Hot Springs",1993,"11","74","0","2","0","76"
"Hot Springs",1993,"12","83","0","5","0","88"
"Hot Springs",1993,"13","83","0","1","0","84"
"Hot Springs",1993,"14","90","0","4","0","94"
"Hot Springs",1993,"15","72","0","3","0","75"
"Hot Springs",1993,"16","77","0","2","0","79"
"Hot Springs",1993,"17","76","0","2","0","78"
"Hot Springs",1993,"18 to 20","131","1","2","0","134"
"Hot Springs",1993,"21 to 24","120","0","1","0","121"
"Hot Springs",1993,"25 & over","3256","0","42","0","3298"
"Hot Springs",1993,"Total","4662","1","87","0","4750"
"Converse",1999,"0","151","0","0","0","151"
"Converse",1999,"1","132","2","6","0","140"
"Converse",1999,"2","141","4","0","0","145"
"Converse",1999,"3","167","0","0","0","167"
"Converse",1999,"4","170","0","4","0","174"
"Converse",1999,"5","176","2","2","1","181"
"Converse",1999,"6","151","0","0","0","151"
"Converse",1999,"7","185","4","4","0","193"
"Converse",1999,"8","192","0","0","0","192"
"Converse",1999,"9","204","0","5","1","210"
"Converse",1999,"10","183","0","0","2","185"
"Converse",1999,"11","184","0","4","0","188"
"Converse",1999,"12","203","0","2","0","205"
"Converse",1999,"13","231","0","0","0","231"
"Converse",1999,"14","235","8","8","1","252"
"Converse",1999,"15","227","2","0","3","232"
"Converse",1999,"16","227","0","3","0","230"
"Converse",1999,"17","261","0","2","0","263"
"Converse",1999,"18 to 20","401","0","6","0","407"
"Converse",1999,"21 to 24","432","0","3","0","435"
"Converse",1999,"25 & over","7586","4","59","12","7661"
"Converse",1999,"Total","11839","26","108","20","11993"
"Goshen",2012,"0","130","2","5","0","137"
"Goshen",2012,"1","104","4","3","0","111"
"Goshen",2012,"2","150","3","3","1","157"
"Goshen",2012,"3","146","2","3","2","153"
"Goshen",2012,"4","138","4","0","3","145"
"Goshen",2012,"5","160","2","4","0","166"
"Goshen",2012,"6","127","1","4","1","133"
"Goshen",2012,"7","122","1","0","0","123"
"Goshen",2012,"8","137","1","0","2","140"
"Goshen",2012,"9","137","0","3","2","142"
"Goshen",2012,"10","146","1","1","1","149"
"Goshen",2012,"11","157","2","2","1","162"
"Goshen",2012,"12","170","2","2","1","175"
"Goshen",2012,"13","150","0","0","2","152"
"Goshen",2012,"14","165","2","4","1","172"
"Goshen",2012,"15","170","3","2","2","177"
"Goshen",2012,"16","155","3","2","1","161"
"Goshen",2012,"17","143","3","3","0","149"
"Goshen",2012,"18 to 20","636","21","11","5","673"
"Goshen",2012,"21 to 24","761","20","11","4","796"
"Goshen",2012,"25 & over","9247","107","82","47","9483"
