Year,County_Desc,Manslaughter,Rape,Robbery,Aggravated-Assault,Burglary,Larceny-Theft,Motor-Vehicle-Theft,Arson,Other-Assaults,Forgery-Counterfeiting,Fraud,Embezzlement,Stolen-Property,Vandalism,Weapons,Prostitution,Sex-Offenses,Drug-Abuse-Violations,Drug-Abuse-Violations-Possession,Gambling-Offenses,Offenses-Against-Family-Children,Driving-Under-the-Influence,Liquor-Laws,Drunkenness,Disorderly-Conduct,All-Other-Offenses-Except-Traffic,Suspicion,Curfew-Loitering-Law-Violations,Run-a-ways,Vagrancy,Total
2011,Hot Springs,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,3,4,0,0,0,8,0,3,6,0,0,0,0,28
2012,Hot Springs,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,13,0,0,0,11,0,3,5,0,0,0,0,34
2013,Hot Springs,0,0,0,0,3,10,1,0,2,0,0,0,0,0,0,0,0,0,8,0,0,2,1,2,2,4,0,0,0,0,35
2014,Hot Springs,0,0,0,0,0,10,2,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,2,4,0,0,2,0,31
2015,Hot Springs,0,0,0,0,1,4,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,2,0,0,0,0,19
2010,Johnson,0,0,0,0,0,3,0,0,3,0,1,0,0,0,0,0,0,2,12,0,0,1,9,0,0,12,0,1,3,0,47
2011,Johnson,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,4,16,0,0,3,9,0,0,14,0,2,1,0,55
2012,Johnson,0,0,0,1,0,7,0,2,3,0,0,0,0,0,0,0,0,1,10,0,0,1,16,0,0,19,0,0,0,0,60
2013,Johnson,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,9,0,0,1,9,0,0,9,0,0,5,0,37
2014,Johnson,0,0,0,1,0,1,3,0,2,0,0,0,0,0,0,0,0,0,10,0,0,0,8,0,8,14,0,1,0,0,48
2015,Johnson,0,0,0,0,0,3,3,0,1,0,0,0,0,0,0,0,1,0,2,0,0,1,4,0,0,20,0,4,1,0,40
2010,Laramie,0,0,2,1,2,207,6,0,158,0,0,0,1,67,17,0,3,4,136,0,5,9,195,0,61,206,2,54,261,0,1397
2011,Laramie,0,0,1,3,3,166,7,0,157,0,4,1,3,57,16,0,3,1,130,0,6,8,153,1,57,182,6,20,209,15,1209
2012,Laramie,0,0,0,3,3,137,5,1,108,0,0,0,2,44,16,0,1,1,113,0,1,5,124,2,34,131,0,47,153,4,935
2013,Laramie,0,0,0,8,4,121,7,0,107,0,3,0,1,40,14,0,0,0,83,0,4,4,83,0,42,109,0,44,174,1,849
2014,Laramie,1,0,0,5,0,120,3,0,112,0,2,0,0,51,15,0,0,1,99,0,3,7,83,0,29,134,0,45,195,0,905
2015,Laramie,0,0,0,12,0,93,5,0,65,0,2,0,0,27,12,0,5,4,97,0,4,0,78,1,50,110,0,19,61,0,645
2010,Lincoln,0,0,0,2,0,10,0,0,2,0,1,0,0,3,0,0,0,0,1,0,0,1,10,0,0,1,0,0,1,0,32
2011,Lincoln,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,6,0,1,3,0,0,1,0,18
2012,Lincoln,0,0,0,2,10,10,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,3,6,0,0,0,0,43
2013,Lincoln,0,3,0,0,1,7,0,0,2,0,0,0,0,2,0,0,0,1,8,0,0,4,11,1,1,24,0,0,2,0,67
2014,Lincoln,0,0,0,0,0,0,0,2,0,0,0,0,0,6,1,0,0,0,3,0,0,0,4,0,0,4,0,0,0,0,20
2015,Lincoln,0,0,0,0,0,4,0,0,1,0,0,0,0,2,0,0,0,0,4,0,0,0,7,5,0,2,0,0,2,0,27
2010,Natrona,1,0,2,1,19,149,3,4,110,0,0,1,0,30,8,0,1,1,154,0,0,13,205,1,3,323,0,148,11,5,1193
2011,Natrona,2,0,0,3,16,143,7,1,73,0,0,0,0,25,9,0,2,2,147,0,0,12,146,2,0,335,0,88,22,3,1038
2012,Natrona,0,0,0,3,10,148,6,1,63,1,0,0,0,25,8,0,8,0,166,0,0,10,174,2,7,300,0,92,33,7,1064
2013,Natrona,0,0,1,2,8,155,3,1,59,1,2,0,2,31,5,1,7,1,120,0,0,11,97,8,2,304,0,94,15,15,945
2014,Natrona,0,0,0,1,9,143,2,1,46,0,4,0,0,21,3,1,3,4,153,0,4,4,100,1,4,180,0,60,5,1,750
2015,Natrona,0,0,3,3,15,131,1,0,53,0,2,0,3,21,3,0,7,0,139,1,4,5,82,8,0,165,0,50,6,24,726
2010,Niobrara,0,0,0,0,0,3,0,0,6,0,0,0,0,3,0,0,0,0,5,0,0,0,7,0,0,6,0,0,3,0,33
2011,Niobrara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2012,Niobrara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,2,0,0,7
2013,Niobrara,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,8
2014,Niobrara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2
2010,Park,0,0,1,1,4,21,0,1,1,0,0,0,0,24,0,0,0,1,18,0,0,1,32,0,17,31,0,0,1,0,154
2011,Park,0,0,1,2,0,29,0,0,12,0,0,0,0,5,0,0,0,0,22,0,1,1,24,0,21,52,0,3,1,0,174
2012,Park,0,1,0,0,0,17,1,0,9,0,0,0,1,10,0,0,0,0,18,0,0,1,28,0,11,32,0,0,1,0,130
2013,Park,0,3,0,1,0,13,0,0,6,0,0,0,2,8,0,0,1,0,14,0,0,0,33,0,12,43,0,5,0,0,141
2014,Park,0,0,0,2,0,20,0,0,6,0,0,0,3,7,0,0,0,2,16,0,0,1,19,0,13,48,0,2,1,0,140
2015,Park,0,0,0,1,1,19,1,0,8,0,1,0,0,15,0,0,0,0,13,0,0,1,14,0,13,32,0,0,0,0,119
2010,Platte,0,0,0,1,36,8,3,0,4,0,0,0,0,1,0,0,0,0,7,0,0,0,12,0,0,12,0,3,0,0,87
2011,Platte,0,0,0,1,2,2,0,0,13,0,0,0,0,1,2,0,1,0,4,0,1,2,8,0,0,9,0,2,1,0,49
2012,Platte,0,0,0,0,2,1,0,0,2,0,1,0,0,0,0,0,2,0,0,1,0,0,2,0,0,8,0,0,2,0,21
2013,Platte,0,0,0,1,0,2,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,1,10,0,0,14,0,8,0,3,43
2014,Platte,0,0,0,1,1,2,1,0,4,0,0,0,0,1,0,0,0,0,12,0,0,1,6,0,3,18,0,1,0,0,51
2015,Platte,0,0,0,0,7,2,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,11,0,4,0,0,31
2010,Sheridan,0,0,2,3,1,54,1,0,10,0,0,0,0,13,1,0,0,2,24,0,0,3,55,0,20,31,0,10,2,0,232
2011,Sheridan,0,0,0,2,0,37,2,1,7,1,0,0,0,11,0,0,0,1,15,0,0,3,31,1,8,38,0,28,3,0,189
2012,Sheridan,0,0,7,1,2,25,1,0,13,0,0,0,0,4,0,0,0,1,30,0,0,3,64,1,6,43,0,37,6,0,244
2013,Sheridan,0,0,0,0,0,18,3,0,13,0,0,0,0,3,0,0,0,0,24,0,0,5,73,0,9,39,0,30,10,0,227
2014,Sheridan,0,0,0,0,2,29,1,0,7,0,0,0,0,9,1,0,1,0,10,0,0,4,46,0,9,38,0,30,6,0,193
2015,Sheridan,0,0,0,1,3,40,7,0,12,0,2,0,0,12,0,0,0,0,22,0,0,1,28,0,15,40,0,42,16,0,241
2010,Sublette,0,0,0,0,0,9,0,0,2,0,0,0,0,0,0,0,0,0,7,0,0,0,19,0,0,8,0,1,0,0,46
2011,Sublette,0,0,0,1,3,9,0,0,4,0,1,0,0,0,1,0,0,1,10,0,0,1,7,0,0,6,0,0,2,0,46
2012,Sublette,0,0,0,0,4,0,1,0,3,0,0,0,0,2,0,0,0,2,16,1,0,1,6,0,0,13,0,0,0,0,49
2013,Sublette,0,0,0,0,1,2,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,13,0,0,1,0,31
2014,Sublette,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,4,0,0,0,7,0,2,7,0,1,1,0,26
2015,Sublette,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,2,2,0,5,0,0,0,0,14
2010,Sweetwater,0,0,0,14,23,57,2,1,49,0,0,0,0,31,6,0,3,8,31,0,0,10,62,4,5,155,0,73,27,0,561
2011,Sweetwater,0,0,0,8,6,85,4,0,52,1,1,0,0,19,4,0,2,1,36,0,0,6,54,0,15,113,0,86,20,0,513
2012,Sweetwater,1,0,0,4,1,84,2,4,38,0,0,0,0,10,0,0,3,4,36,0,2,5,60,0,4,84,0,57,14,0,413
2013,Sweetwater,0,2,0,6,1,56,3,1,26,0,2,0,0,17,4,0,1,0,35,0,0,2,32,3,1,31,1,32,22,1,279
2014,Sweetwater,0,1,0,1,2,37,8,0,23,0,0,0,0,25,2,0,2,1,15,0,1,1,27,1,9,54,2,29,37,0,278
2015,Sweetwater,0,1,2,13,6,36,4,4,43,0,0,0,0,4,3,0,2,2,14,0,0,3,33,0,4,52,2,28,21,0,277
2010,Teton,0,0,0,5,1,13,0,0,1,0,0,0,0,0,0,0,0,3,10,0,0,1,14,0,2,22,0,0,1,0,73
2011,Teton,0,1,0,3,0,13,1,1,1,0,0,0,1,2,0,0,0,1,8,0,0,3,12,0,0,7,0,0,0,0,54
2012,Teton,0,0,0,0,0,5,0,0,2,0,0,0,0,1,0,0,0,0,6,0,1,0,6,0,0,5,0,0,1,0,27
2013,Teton,0,0,0,0,1,5,0,0,1,0,0,0,0,0,1,0,0,0,5,0,0,0,3,0,0,5,0,0,1,0,22
2014,Teton,0,2,0,0,0,6,0,0,1,0,0,0,0,0,0,0,1,0,4,0,0,1,3,0,0,1,0,0,1,0,20
2015,Teton,0,0,0,0,0,3,0,3,0,0,0,0,0,1,0,0,1,0,10,0,0,0,3,0,0,6,0,0,4,0,31
2010,Uinta,0,0,0,0,1,33,2,0,10,0,0,0,0,18,0,0,0,5,10,0,1,2,43,0,8,37,3,85,10,0,268
2011,Uinta,0,0,0,0,0,9,1,1,5,0,0,0,0,1,0,0,0,6,8,0,0,0,17,0,9,63,0,30,6,0,156
2012,Uinta,0,0,0,0,0,5,0,0,6,0,0,0,0,3,0,0,0,4,7,0,0,2,6,0,8,38,0,21,15,0,115
2013,Uinta,0,0,0,1,1,23,0,0,9,0,0,0,0,0,1,0,0,3,3,0,0,0,2,1,13,38,0,22,11,0,128
2014,Uinta,0,0,0,1,1,27,0,0,12,0,0,0,0,7,1,0,1,6,0,0,0,0,3,7,7,20,0,17,6,5,121
2015,Uinta,0,0,0,1,0,20,2,0,1,0,0,0,0,8,0,0,0,1,4,0,0,0,14,1,15,32,0,14,4,0,117
2010,Washakie,0,0,0,0,2,2,1,0,3,0,0,0,0,0,0,0,0,0,6,0,1,2,20,0,0,2,0,0,0,0,39
2011,Washakie,0,0,0,0,1,1,0,0,6,0,0,0,0,1,0,0,0,1,2,0,0,1,6,1,1,1,0,0,0,0,22
2012,Washakie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,9,1,0,7,0,0,2,0,25
2013,Washakie,0,0,0,0,1,3,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,10,0,0,1,0,0,1,0,22
2014,Washakie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,8,0,0,2,0,0,1,0,15
2015,Washakie,0,0,0,0,4,4,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,4,1,2,1,0,0,0,0,21
2010,Weston,0,0,0,0,0,8,0,0,6,0,0,0,0,1,0,0,0,2,0,0,0,0,4,1,2,7,0,0,11,0,42
2011,Weston,0,0,0,1,3,4,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,3,0,1,0,0,3,5,0,25
2012,Weston,0,0,0,0,3,2,0,0,8,0,0,0,0,5,0,0,0,3,2,0,0,0,8,0,3,9,0,5,0,0,48
2013,Weston,0,0,0,0,2,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,16
2014,Weston,0,0,0,0,2,9,2,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,3,0,1,18,0,0,0,0,39
2015,Weston,0,0,0,0,0,12,1,0,2,0,0,0,0,0,0,0,0,0,7,0,0,1,6,0,2,1,0,2,0,0,34
